instruction,output
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, 시티투어을 좋아하고, 2인 가족 여행 예정입니다.","남산 서울타워에 가보셨나요? 가보시지 않으셨다면, 남산 서울타워을 추천드립니다."
2인 여행(가족 외)로 1명 과 여행지 추천,"공간 와디즈에 가보셨나요? 가보시지 않으셨다면, 공간 와디즈을 추천드립니다."
"1명과 쇼핑, SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람 여행을 떠나는데 여행지 추천 해줘.","픽닷에 가보셨나요? 가보시지 않으셨다면, 픽닷을 추천드립니다."
"저는 40대 이고,  지역 문화예술/공연/전시시설 관람, 교육/체험 프로그램 참가, SNS 인생샷 여행, Well-ness 여행, 신규 여행지 발굴을 떠납니다. 추천 부탁드려요.","키자니아 서울에 가보셨나요? 가보시지 않으셨다면, 키자니아 서울을 추천드립니다."
"2인 여행(가족 외)으로 할 예정입니다. 대중교통 등으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 고척스카이돔 전면 광장입니다.
"저는 60대 이고, 1명과 교육/체험 프로그램 참가, Well-ness 여행, SNS 인생샷 여행, 친환경 여행(플로깅 여행), 지역 문화예술/공연/전시시설 관람를 가려고 합니다. 여행지 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 서울아트 책 보고입니다.
"30대 인데, 이번에 반려동물 동반 여행, 지역 문화예술/공연/전시시설 관람, 캠핑 여행 갑니다. 숙박 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 소소 온기입니다.
"저는 30대 이고, 1명과 반려동물 동반 여행, 지역 문화예술/공연/전시시설 관람, 캠핑을 떠납니다. 추천 부탁드려요.","족발 구역 마석점에 가보셨나요? 가보시지 않으셨다면, 족발 구역 마석점을 추천드립니다."
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 의정부 제일시장입니다.
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 장안문입니다.
"서울특별시에 사는 사람이 드라마 촬영지 방문, SNS 인생샷 여행, 인플루언서 따라하기 여행, 역사 유적지 방문로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 방화수류정입니다.
"1명 과 드라마 촬영지 방문, SNS 인생샷 여행, 인플루언서 따라하기 여행, 역사 유적지 방문로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 행궁동 벽화마을입니다.
저는 30대 여성입니다. 2인 가족 여행으로 여행 가려고 합니다. 여행지 추천 부탁드려요.,"화성행궁에 가보셨나요? 가보시지 않으셨다면, 화성행궁을 추천드립니다."
"쇼핑, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 지역 축제/이벤트 참가(으)로 2인 여행(가족 외) 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?","바운스 트램펄린 파크 삼성센터에 가보셨나요? 가보시지 않으셨다면, 바운스 트램펄린 파크 삼성센터을 추천드립니다."
"저는 20대 이고, 1명과 쇼핑, 테마파크, 놀이시설, 동/식물원 방문, SNS 인생샷 여행, 지역 축제/이벤트 참가을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 배스킨라빈스 파르나스 몰 점입니다.
"저는 30대 이고, 1명과 쇼핑, 호캉스 여행, 시티투어, 유흥/오락(나이트라이프)을 떠납니다. 추천 부탁드려요.","볼보 자동차 강남 시네 사전 시장(에이치 모터스)에 가보셨나요? 가보시지 않으셨다면, 볼보 자동차 강남 시네 사전 시장(에이치 모터스)을 추천드립니다."
"2인 여행(가족 외)으로 할 예정입니다. 자가용으로 이동하려는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아침고요 수목원입니다.
"경기도에 사는 사람이 온천/스파, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 장흥 참숯가마입니다.
"저는 30대 이고, 1명과 온천/스파, Well-ness 여행, SNS 인생샷 여행, 신규 여행지 발굴을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 브루다 양주입니다.
"40대 입니다. 이번에 역사 유적지 방문, 시티투어, 교육/체험 프로그램 참가, SNS 인생샷 여행, 시티투어 여행 가려고 합니다. 적당한 여행지를 추천해 주세요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 서울역사박물관입니다.
"2명 과 역사 유적지 방문, 시티투어, 교육/체험 프로그램 참가, SNS 인생샷 여행, 시티투어로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.","서대문형무소 역사관에 가보셨나요? 가보시지 않으셨다면, 서대문형무소 역사관을 추천드립니다."
"역사 유적지 방문, 시티투어, 교육/체험 프로그램 참가, SNS 인생샷 여행, 시티투어(으)로 자녀 동반 여행을 계획하고 있는데, 추천할 만한 여행지가 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 국립 대한민국임시정부기념관입니다.
"수도권에 가 볼 만한 곳이 있을까요? 저는 쇼핑, SNS 인생샷 여행, 인플루언서 따라하기 여행, 시티투어, 유흥/오락(나이트라이프)을 좋아하고, 2인 여행(가족 외) 예정입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 아이파크몰 용산점입니다.
"인천광역시에 사는 사람이 쇼핑, 쇼핑, 유흥/오락(나이트라이프), 온천/스파로 여행갈만한 곳이 있나요? 1명 정도 될 것 같습니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 시흥갯골생태공원입니다.
"자가용을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 1명 과(와) 함께하는 여행입니다.","시흥 프리미엄 아울렛에 가보셨나요? 가보시지 않으셨다면, 시흥 프리미엄 아울렛을 추천드립니다."
"쇼핑, 쇼핑, 유흥/오락(나이트라이프), 온천/스파 여행 가는데 1명과 함께할 곳 추천해 주세요.","아산스파비스에 가보셨나요? 가보시지 않으셨다면, 아산스파비스을 추천드립니다."
"30대 여성이고, 이번에 Well-ness 여행, 호캉스 여행, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람로 여행을 떠납니다. 여행지 추천 부탁드려요.","롯데 아울렛 서울역점에 가보셨나요? 가보시지 않으셨다면, 롯데 아울렛 서울역점을 추천드립니다."
"3명 과 Well-ness 여행, 호캉스 여행, 역사 유적지 방문, 시티투어, 지역 문화예술/공연/전시시설 관람로 여행을 계획하고 있습니다. 여행할 곳 추천 부탁드려요.","더 플라자 별관에 가보셨나요? 가보시지 않으셨다면, 더 플라자 별관을 추천드립니다."
"대중교통 등을 이용해서 갈 예정인데, 여행할 곳이 필요해요. 3명 과(와) 함께하는 여행입니다.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 덕수궁입니다.
"이번 SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람로 1명과 함께 여행하려 합니다. 갈 만한 곳이 있을까요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 그라운드 시 소 성수입니다.
"저는 30대 이고, 1명과 SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람을 떠납니다. 추천 부탁드려요.","섬세 테라리엄에 가보셨나요? 가보시지 않으셨다면, 섬세 테라리엄을 추천드립니다."
"충청북도에 살고 있는데, 2인 여행(가족 외)여행을 가려고 해요. 갈 만한 여행지가 있나요?","서래섬에 가보셨나요? 가보시지 않으셨다면, 서래섬을 추천드립니다."
"저는 30대 이고, 1명과 SNS 인생샷 여행, 지역 문화예술/공연/전시시설 관람을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.","위글위글 도산 플래그십 스토어에 가보셨나요? 가보시지 않으셨다면, 위글위글 도산 플래그십 스토어을 추천드립니다."
"서울특별시에 살고 있는데, 3대 동반 여행(친척 포함)여행을 가려고 해요. 갈 만한 여행지가 있나요?",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 화담숲입니다.
"60대 남성이고, 이번에 테마파크, 놀이시설, 동/식물원 방문, Well-ness 여행, SNS 인생샷 여행, 호캉스 여행, 야외 스포츠, 레포츠 활동로 여행을 떠납니다. 여행지 추천 부탁드려요.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 열미계곡입니다.
"나홀로 여행로 여행 가려는데, 추천해 줘",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 서울어린이대공원 동물원입니다.
"저는 20대 이고,  쇼핑, 테마파크, 놀이시설, 동/식물원 방문을 떠나려고 합니다. 가 볼 만한 여행지 추천 해줘.",유사한 사람들의 만족도를 고려하였을 때 추천드리는 여행지는 동대문디자인플라자입니다.
"나홀로 여행으로 할 예정입니다. 자가용으로 이동하려는데, 추천할 만한 여행지가 있을까요?","일산 호수공원에 가보셨나요? 가보시지 않으셨다면, 일산 호수공원을 추천드립니다."
